label,CMID,CMName,long,lat
"""ETHNICITY""","""SM250838""","""Adja""",1.86,6.98
"""ETHNICITY""","""SM250839""","""Afrikaaner""",28,-16
"""ETHNICITY""","""SM250839""","""Afrikaaner""",28,-16
"""ETHNICITY""","""SM250839""","""Afrikaaner""",28,-16
"""ETHNICITY""","""SM250843""","""Antakarana""",49.36,-12.8
"""ETHNICITY""","""SM250844""","""Tambahoaka""",47.93,-21.18
"""ETHNICITY""","""SM250845""","""Antanosy""",47.04,-24.26
"""ETHNICITY""","""SM250846""","""Taimoro""",47.93,-21.87
"""ETHNICITY""","""SM250855""","""Banyang""",9,6
"""ETHNICITY""","""SM250855""","""Banyang""",9,6
"""ETHNICITY""","""SM250856""","""Belle""",-9.57,8.24
"""ETHNICITY""","""SM250858""","""Bezanozano""",48.43,-18.55
"""ETHNICITY""","""SM250859""","""Bitonga""",35.09,-22.65
"""ETHNICITY""","""SM250861""","""Bwile""",29.44,-7.69
"""ETHNICITY""","""SM250868""","""Dey""",-10.25,6.34
"""ETHNICITY""","""SM250869""","""Jakhanke""",-12.19,14.69
"""ETHNICITY""","""SM250871""","""Efik""",8,5
"""ETHNICITY""","""SM250871""","""Efik""",8,5
"""ETHNICITY""","""SM250871""","""Efik""",7.9,4.86
"""ETHNICITY""","""SM250876""","""Esan""",5.333,6.583
"""ETHNICITY""","""SM250876""","""Esan""",6.48,7.83
"""ETHNICITY""","""SM250879""","""Nigerian Fulfulde""",11,11
"""ETHNICITY""","""SM250879""","""Nigerian Fulfulde""",12,7
"""ETHNICITY""","""SM250879""","""Nigerian Fulfulde""",12,7
"""ETHNICITY""","""SM250881""","""German""",9.76,51.39
"""ETHNICITY""","""SM250881""","""German""",14,53
"""ETHNICITY""","""SM250887""","""Ika""",6.5,7.32
"""ETHNICITY""","""SM250891""","""Adhola""",34.18,0.9
"""ETHNICITY""","""SM250892""","""Kakwa""",31,4
"""ETHNICITY""","""SM250892""","""Kakwa""",31,4
"""ETHNICITY""","""SM250892""","""Kakwa""",31.03,3.43
"""ETHNICITY""","""SM250896""","""Kasem""",-1,11
"""ETHNICITY""","""SM250896""","""Kasem""",-1,11
"""ETHNICITY""","""SM250898""","""Kuria""",34.16,-1.33
"""ETHNICITY""","""SM250903""","""Kusaal""",0,11
"""ETHNICITY""","""SM250903""","""Kusaal""",0,11
"""ETHNICITY""","""SM250906""","""Luhya""",34.5,0.5
"""ETHNICITY""","""SM250906""","""Luhya""",34.6,0.4
"""ETHNICITY""","""SM250907""","""Mandingue""",-12,12
"""ETHNICITY""","""SM250908""","""Makoa""",43.81,-22.32
"""ETHNICITY""","""SM250916""","""Marati""",73.99,17.39
"""ETHNICITY""","""SM250916""","""Marati""",75.9,19.8
"""ETHNICITY""","""SM250919""","""Mbam""",12.25,4.13
"""ETHNICITY""","""SM250927""","""Jita""",33.75,-1.91
"""ETHNICITY""","""SM250930""","""Ndali""",33.28,-9.76
"""ETHNICITY""","""SM250932""","""Ndengereko""",38.69,-7.48
"""ETHNICITY""","""SM250933""","""Nyambo""",30.9,-1.06
"""ETHNICITY""","""SM251110""","""Sena Malawi""",34.96,-16.24
"""ETHNICITY""","""SM250939""","""Pangwa""",34.96,-10.1
"""ETHNICITY""","""SM250941""","""Swahili-East Africa""",39.4,-9.35
"""ETHNICITY""","""SM250942""","""Tongwe""",30.58,-5.41
"""ETHNICITY""","""SM250946""","""Baruuli""",32.28,1.24
"""ETHNICITY""","""SM250947""","""Nyole""",33.78,1.7
"""ETHNICITY""","""SM250948""","""Samia""",34.12,0.31
"""ETHNICITY""","""SM250958""","""Upila""",5.55,8.97
"""ETHNICITY""","""SM250961""","""Waci""",1.08,7.02
"""ETHNICITY""","""SM250964""","""Kupsabiny""",35,1
"""ETHNICITY""","""SM250964""","""Kupsabiny""",35,1
"""ETHNICITY""","""SM251105""","""Tswana""",27,-24
"""ETHNICITY""","""SM251105""","""Tswana""",27,-24
"""ETHNICITY""","""SM251105""","""Tswana""",27,-24
"""ETHNICITY""","""SM251105""","""Tswana""",20.83,-24.6
"""ETHNICITY""","""SM250970""","""Soli""",28.74,-16.21
"""ETHNICITY""","""SM250973""","""Tallensi""",-0.6665,10.625
"""ETHNICITY""","""SM250973""","""Tallensi""",-0.6665,10.625
"""ETHNICITY""","""SM250973""","""Tallensi""",-0.6665,10.625
"""ETHNICITY""","""SM250973""","""Tallensi""",-0.57,10.66
"""ETHNICITY""","""SM250973""","""Tallensi""",-1,11
"""ETHNICITY""","""SM250973""","""Tallensi""",-0.19,10.94
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",80.48,9.28
"""ETHNICITY""","""SM250974""","""Tamil""",79,11
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",79.2915,10.625
"""ETHNICITY""","""SM250974""","""Tamil""",78,11.1
"""ETHNICITY""","""SM250977""","""Telugu""",79,18
"""ETHNICITY""","""SM250977""","""Telugu""",79,18
"""ETHNICITY""","""SM250977""","""Telugu""",79,18
"""ETHNICITY""","""SM250977""","""Telugu""",79.6,15.9
"""ETHNICITY""","""SM250978""","""Teve""",31.32,-15.11
"""ETHNICITY""","""SM250979""","""Tharaka""",42.91,3.18
"""ETHNICITY""","""SM250981""","""Tonga (Nyasa)""",34,-12
"""ETHNICITY""","""SM250981""","""Tonga (Nyasa)""",34,-12
"""ETHNICITY""","""SM250988""","""Akan""",-4.26,6.33
"""ETHNICITY""","""SM250650""","""Lungu""",29.09,-6.89
"""ETHNICITY""","""SM250992""","""Grunshi""",-1.52,11.47
"""ETHNICITY""","""SM250347""","""Karanga""",32.71,-21.21
"""ETHNICITY""","""SM250999""","""Ngoni""",33,-12
"""ETHNICITY""","""SM250999""","""Ngoni""",33,-12
"""ETHNICITY""","""SM250999""","""Ngoni""",33,-12
"""ETHNICITY""","""SM250999""","""Ngoni""",33,-12
"""ETHNICITY""","""SM250999""","""Ngoni""",35.41,-11.53
"""ETHNICITY""","""SM251006""","""Shona""",31.64,-18.79
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251006""","""Shona""",31,-19
"""ETHNICITY""","""SM251007""","""Somalie""",47.25,9
"""ETHNICITY""","""SM251007""","""Somalie""",47.25,9
